x,predicted,std.error,conf.low,conf.high,group,resp,subset,predictor
2000,23.918635561356453,0.4686304009813115,22.97782077406977,24.859450348643136,1,rarefied_richness,all,season-or-time
2002,23.77585408295948,0.4203017375752085,22.932063135967947,24.619645029951013,1,rarefied_richness,all,season-or-time
2003,23.704463343760995,0.3995628827768626,22.902307385077556,24.506619302444435,1,rarefied_richness,all,season-or-time
2004,23.63307260456251,0.3816181020405622,22.866942296447146,24.399202912677875,1,rarefied_richness,all,season-or-time
2005,23.561681865364026,0.3668776173944,22.825144314990887,24.298219415737165,1,rarefied_richness,all,season-or-time
2019,22.562211516585236,0.5418047368105127,21.474493120284208,23.649929912886265,1,rarefied_richness,all,season-or-time
2000,15.087840018977815,0.279084544833831,14.527554416223433,15.648125621732197,1,rarefied_richness,rf,season-or-time
2002,14.982081147699828,0.25026275430940287,14.479657703833732,15.484504591565925,1,rarefied_richness,rf,season-or-time
2003,14.929201712060836,0.2378935908403172,14.45161040002766,15.406793024094013,1,rarefied_richness,rf,season-or-time
2004,14.876322276421842,0.2271903684146383,14.420218580020538,15.332425972823145,1,rarefied_richness,rf,season-or-time
2005,14.82344284078285,0.21839815705945195,14.384990245203404,15.261895436362295,1,rarefied_richness,rf,season-or-time
2019,14.083130741836948,0.3227532119986084,13.435176631611235,14.731084852062661,1,rarefied_richness,rf,season-or-time
2000,2.3274124045255618,0.09102963848267541,2.144662779690025,2.5101620293610987,1,rarefied_richness,oc,season-or-time
2002,2.29745448369889,0.08051296865970725,2.135817954517714,2.459091012880066,1,rarefied_richness,oc,season-or-time
2003,2.2824755232855543,0.07596480083318571,2.129969822017576,2.4349812245535327,1,rarefied_richness,oc,season-or-time
2004,2.267496562872218,0.07201290179057535,2.122924629984111,2.4120684957603253,1,rarefied_richness,oc,season-or-time
2005,2.252517602458882,0.06876015778355538,2.11447582564826,2.390559379269504,1,rarefied_richness,oc,season-or-time
2019,2.042812156672179,0.1078947160802132,1.8262044757667077,2.2594198375776497,1,rarefied_richness,oc,season-or-time
2000,4.479269988937207,0.1471384322416865,4.183877260379081,4.7746627174953336,1,rarefied_richness,rr,season-or-time
2002,4.412247459510404,0.13247597120366655,4.146290849765094,4.678204069255713,1,rarefied_richness,rr,season-or-time
2003,4.3787361947970025,0.12619763987805357,4.12538386112566,4.632088528468345,1,rarefied_richness,rr,season-or-time
